dataset,batch_idx,ufm_epe,ours_epe,valid_ratio,valid_points,gt_flow_mean,gt_flow_p90,gt_flow_max,selected_points,candidate_points,gt_gif,ufm_gif,ours_gif
virtual_kitti2,0,2.3647701740264893,4.188966274261475,0.7363281846046448,11310,7.836452484130859,20.24588966369629,113.50101470947266,48,887,/tmp/ufm_vs_keycoord_50b_forward/virtual_kitti2/batch_000_gt_track_overlay.gif,/tmp/ufm_vs_keycoord_50b_forward/virtual_kitti2/batch_000_ufm_track_overlay.gif,/tmp/ufm_vs_keycoord_50b_forward/virtual_kitti2/batch_000_keycoord_track_overlay.gif
virtual_kitti2,1,2.2876672744750977,4.464809894561768,0.7274088859558105,11173,12.046462059020996,40.06413269042969,74.43478393554688,48,981,/tmp/ufm_vs_keycoord_50b_forward/virtual_kitti2/batch_001_gt_track_overlay.gif,/tmp/ufm_vs_keycoord_50b_forward/virtual_kitti2/batch_001_ufm_track_overlay.gif,/tmp/ufm_vs_keycoord_50b_forward/virtual_kitti2/batch_001_keycoord_track_overlay.gif
virtual_kitti2,2,2.0298964977264404,3.272552490234375,0.6208333373069763,9536,6.0730719566345215,11.804346084594727,152.0698699951172,,,,,
virtual_kitti2,3,2.37571120262146,2.7012393474578857,0.9626302719116211,14786,5.128590106964111,8.918769836425781,168.27520751953125,,,,,
virtual_kitti2,4,1.5380356311798096,1.520782709121704,0.9703776836395264,14905,2.9797799587249756,4.591212272644043,184.4282989501953,,,,,
virtual_kitti2,5,1.7869445085525513,1.711775541305542,0.9449869990348816,14515,2.4213712215423584,3.635082721710205,112.0884017944336,,,,,
virtual_kitti2,6,2.7948734760284424,3.4864115715026855,0.7656250596046448,11760,4.450317859649658,8.917790412902832,190.21926879882812,,,,,
virtual_kitti2,7,3.0961756706237793,3.2417728900909424,0.7526693344116211,11561,4.6105217933654785,9.390239715576172,217.56100463867188,,,,,
virtual_kitti2,8,2.957350492477417,3.9313368797302246,0.7936198115348816,12190,5.486846923828125,12.652548789978027,226.607421875,,,,,
virtual_kitti2,9,2.3934905529022217,2.3616812229156494,0.9574218988418579,14706,4.415507793426514,8.580474853515625,78.02705383300781,,,,,
virtual_kitti2,10,2.981423854827881,2.9246413707733154,0.9195963740348816,14125,4.764041423797607,7.33128023147583,222.14366149902344,,,,,
