idx,name,full250_l1,full250_bad1
1,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/A/0011/left/0006,0.642880,6.392747
22,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0077/left/0006,0.507371,7.121528
19,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0047/left/0006,0.468526,7.423997
29,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0149/left/0006,0.590594,7.549383
