idx,name,full240_l1,full240_bad1
19,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0047/left/0006,0.463420,7.102431
22,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0077/left/0006,0.532886,7.237269
1,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/A/0011/left/0006,0.659815,7.282600
29,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0149/left/0006,0.589231,7.496335
