idx,name,full270_l1,full270_bad1
1,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/A/0011/left/0006,0.618407,6.196181
29,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0149/left/0006,0.558526,6.918210
2,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/A/0021/left/0006,0.541049,6.988040
19,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0047/left/0006,0.453063,7.027778
