idx,name,full300_l1,full300_bad1
1,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/A/0011/left/0006,0.603383,6.216628
19,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0047/left/0006,0.447685,6.618056
29,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0149/left/0006,0.546928,6.705826
2,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/A/0021/left/0006,0.528380,6.786651
