idx,name,full260_l1,full260_bad1
1,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/A/0011/left/0006,0.618641,6.268904
19,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0047/left/0006,0.445669,6.614969
22,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0077/left/0006,0.512843,7.010802
29,sceneflow_stereo/FlyingThings3D/FlyingThings3D/frames_finalpass/TEST/B/0149/left/0006,0.565958,7.028935
