batch_idx,baseline_epe,baseline_loss,ssl_epe,ssl_loss,valid_ratio,valid_points,gt_flow_mean,gt_flow_p90,gt_flow_max
0,3.0896260738372803,0.0005702311173081398,8.379135131835938,0.004692586604505777,0.6753255724906921,10373,3.5370571613311768,9.581018447875977,47.23011016845703
1,3.5121817588806152,0.0006401366554200649,5.644396781921387,0.001860003569163382,0.8576172590255737,13173,6.595258712768555,14.658926010131836,52.6212043762207
2,3.0233991146087646,0.0005395504995249212,4.868821144104004,0.0015327776782214642,0.8215495347976685,12619,5.641403675079346,12.630128860473633,44.53534698486328
3,1.8878780603408813,0.0002658917219378054,4.072099208831787,0.0015376040246337652,0.7450520992279053,11444,2.811851978302002,7.5002970695495605,31.027324676513672
4,3.954180955886841,0.0009454356040805578,3.143167018890381,0.0007533345487900078,0.5288411974906921,8123,2.539818525314331,11.44351863861084,22.17957878112793
5,0.9414028525352478,7.231695053633302e-05,1.1031508445739746,8.16053434391506e-05,0.5603516101837158,8607,0.18175454437732697,0.221637561917305,16.266971588134766
6,3.727165937423706,0.0007597210933454335,2.7495992183685303,0.0008174781105481088,0.533203125,8190,2.9664359092712402,13.259397506713867,21.962688446044922
7,4.514084339141846,0.0010466402163729072,5.802145481109619,0.0019965884275734425,0.6010416746139526,9232,2.832441568374634,5.240278244018555,34.98231887817383
8,0.4776870310306549,1.1124213415314443e-05,0.43924376368522644,1.2721217899525072e-05,0.45826825499534607,7039,0.21322479844093323,0.4164274334907532,0.8137720227241516
9,2.5999789237976074,0.00038388295797631145,8.72762393951416,0.003523288294672966,0.8379557728767395,12871,4.777677536010742,9.778533935546875,30.18716049194336
10,3.590203046798706,0.0008415259653702378,11.151119232177734,0.006779609248042107,0.8229818344116211,12641,5.513125419616699,10.713883399963379,88.67315673828125
11,1.7666436433792114,0.00019643847190309316,3.4853675365448,0.00139524950645864,0.8615235090255737,13233,2.476489543914795,7.325568199157715,35.87344741821289
12,1.8998464345932007,0.00020450312877073884,4.096135139465332,0.0015260092914104462,0.5753255486488342,8837,1.943848967552185,3.804003953933716,17.843637466430664
13,2.875077962875366,0.00045626430073753,4.357746601104736,0.0012624498922377825,0.8188802599906921,12578,5.774829864501953,13.76746940612793,54.03389358520508
14,2.0895164012908936,0.0002530160709284246,8.743443489074707,0.004925464279949665,0.6252604722976685,9604,2.532140016555786,4.791833877563477,31.77764129638672
15,4.272346019744873,0.0009253408061340451,17.6263427734375,0.012391811236739159,0.7237630486488342,11117,21.1129207611084,26.5395565032959,52.93728256225586
16,7.326587677001953,0.0026138443499803543,9.115545272827148,0.003844195045530796,0.5852214097976685,8989,8.996559143066406,19.25998306274414,75.42254638671875
17,2.908299207687378,0.0006031758384779096,5.373039245605469,0.002036706078797579,0.6587240099906921,10118,4.699032783508301,10.978678703308105,56.79108428955078
18,3.8531582355499268,0.0007008052780292928,5.171895503997803,0.0015983838820829988,0.8341146111488342,12812,5.8585991859436035,12.506572723388672,45.04767608642578
19,4.038085460662842,0.001297877519391477,7.853878021240234,0.0037565971724689007,0.5966145992279053,9164,8.533299446105957,16.497976303100586,72.35565185546875
20,2.7421889305114746,0.0004447590035852045,4.135904788970947,0.0009814267978072166,0.7684895992279053,11804,4.082561492919922,8.358954429626465,31.56268310546875
21,8.95710563659668,0.004147788975387812,8.211967468261719,0.004623416345566511,0.5933594107627869,9114,11.225472450256348,24.590612411499023,87.50584411621094
22,3.340810775756836,0.0005711860721930861,6.206897735595703,0.0029520057141780853,0.6126953363418579,9411,2.012507677078247,4.278006553649902,13.347911834716797
23,3.5563607215881348,0.0007742825546301901,4.8086466789245605,0.0015312585746869445,0.6607422232627869,10149,4.931708335876465,10.438161849975586,104.07849884033203
24,1.645183801651001,0.00019048516696784645,2.645785331726074,0.00039819595986045897,0.5606120228767395,8611,2.0141892433166504,4.4463396072387695,25.69684600830078
25,5.184487819671631,0.002269291551783681,3.1638379096984863,0.0009222102235071361,0.6739583611488342,10352,3.672105073928833,7.702512741088867,57.20340347290039
26,2.404639482498169,0.00033407058799639344,4.374039649963379,0.0010780419688671827,0.5819661617279053,8939,2.6790335178375244,6.118943691253662,30.55292510986328
27,2.4665679931640625,0.0007755359984003007,3.9198567867279053,0.0014205444604158401,0.9419922232627869,14469,4.099906921386719,11.184690475463867,72.06184387207031
