batch_idx,baseline_epe,baseline_loss,ssl_epe,ssl_loss,valid_ratio,valid_points,gt_flow_mean,gt_flow_p90,gt_flow_max
0,0.5569882988929749,1.5735578926978633e-05,0.927264928817749,4.3122749048052356e-05,1.0,15360,2.1328916549682617,4.098450183868408,5.09931755065918
1,1.5755126476287842,0.00021833986102137715,2.2504398822784424,0.0004896445898339152,1.0,15360,3.3422820568084717,10.940462112426758,17.825590133666992
2,0.33245059847831726,6.343412223941414e-06,0.7592617869377136,2.9527864171541296e-05,0.9998698234558105,15358,0.7432069182395935,1.120416522026062,5.767348766326904
3,1.7112675905227661,0.00013544280955102295,3.829348087310791,0.0006568025564774871,0.8328776359558105,12793,9.38558292388916,13.013565063476562,18.881479263305664
4,2.8700082302093506,0.0006814898224547505,7.348079681396484,0.0037475188728421926,0.6399089097976685,9829,16.8179988861084,41.241477966308594,54.9403190612793
5,0.7331863641738892,8.806675032246858e-05,1.133941650390625,0.00016892077110242099,1.0,15360,2.442079544067383,11.238044738769531,24.837190628051758
6,1.6210057735443115,0.0002480628027115017,2.3568077087402344,0.0005430057644844055,1.0,15360,4.275343418121338,14.558525085449219,36.44977951049805
7,0.34620875120162964,9.868759661912918e-06,0.9078559875488281,4.0633720345795155e-05,1.0,15360,0.6718927025794983,2.2197375297546387,10.124354362487793
8,1.2168545722961426,0.00010956612095469609,1.9977422952651978,0.00027089769719168544,1.0,15360,3.815960645675659,8.632041931152344,25.860496520996094
9,0.5261437892913818,1.1251075193285942e-05,1.560539722442627,9.965924255084246e-05,1.0,15360,4.264837265014648,6.104816913604736,10.012555122375488
10,0.7816047668457031,2.7041440262109973e-05,2.145629405975342,0.00019929111294914037,1.0,15360,5.6050920486450195,6.50487756729126,8.767257690429688
11,0.6489495038986206,1.8946149793919176e-05,1.291797161102295,6.856592517578974e-05,0.9998047351837158,15357,3.0334813594818115,5.848019123077393,8.29052448272705
12,0.4642390012741089,1.4620391084463336e-05,0.9500424861907959,6.913430843269452e-05,1.0,15360,1.0908092260360718,3.5100109577178955,9.83712387084961
13,0.7438271641731262,2.4629547624499537e-05,1.5827239751815796,0.00011566174362087622,1.0,15360,3.553917407989502,5.9109978675842285,9.504593849182129
14,0.21602772176265717,2.7387636691855732e-06,0.2988569438457489,5.350587798602646e-06,1.0,15360,0.31944936513900757,0.598656177520752,3.0126705169677734
15,0.636919379234314,3.55620650225319e-05,0.7199375033378601,3.64687766705174e-05,1.0,15360,0.6301500201225281,1.6648014783859253,5.132589817047119
16,0.07717911154031754,2.607935982723575e-07,0.15336698293685913,2.2017163701093523e-06,1.0,15360,0.002207609824836254,0.0,0.7483417391777039
17,0.6859058141708374,5.493858043337241e-05,1.2804659605026245,0.00018690721481107175,1.0,15360,1.8716778755187988,6.538393020629883,19.798471450805664
18,1.140474796295166,5.397605855250731e-05,2.5840704441070557,0.00027215899899601936,1.0,15360,5.117444038391113,8.313115119934082,13.044819831848145
19,4.68740701675415,0.001268250634893775,11.10030746459961,0.0053057060576975346,0.6059896349906921,9308,31.624103546142578,43.2299690246582,58.62577819824219
20,1.0759040117263794,5.0984184781555086e-05,2.9264626502990723,0.0003730398020707071,1.0,15360,10.708170890808105,19.44877052307129,23.20527458190918
21,0.32380664348602295,8.18923581391573e-06,0.6261733770370483,1.9901712221326306e-05,1.0,15360,0.5095905065536499,1.1098687648773193,5.679718971252441
22,1.2248824834823608,0.00013026961823925376,1.368682622909546,0.00015607224486302584,1.0,15360,2.197230577468872,5.061252117156982,11.808493614196777
23,0.3695110082626343,7.396388355118688e-06,0.6882078051567078,2.2111335056251846e-05,0.9994792342185974,15352,0.7773782014846802,1.3873499631881714,6.076236724853516
24,0.355620414018631,8.410320333496202e-06,0.739815890789032,2.4629869585623965e-05,0.99993497133255,15359,0.9192640781402588,1.17068612575531,8.669569969177246
25,1.2169147729873657,9.727952419780195e-05,2.1088953018188477,0.00024384660355281085,0.8291667103767395,12736,3.327791452407837,7.319005012512207,28.60805320739746
26,0.4798724353313446,1.2462609447538853e-05,0.6649388670921326,2.5042216293513775e-05,1.0,15360,0.4550037682056427,0.778563380241394,5.640373229980469
27,0.3035016357898712,4.431488832778996e-06,0.44267508387565613,8.470029570162296e-06,1.0,15360,0.30134114623069763,0.5466136336326599,1.7015150785446167
28,0.8556306958198547,3.647920675575733e-05,0.780564546585083,2.8006523280055262e-05,1.0,15360,0.7332960963249207,1.2348684072494507,3.180452823638916
29,1.1313059329986572,7.733148231636733e-05,1.433759093284607,0.00013748524361290038,1.0,15360,2.012669324874878,5.3565192222595215,16.297945022583008
30,0.19049100577831268,1.8166377913075848e-06,0.24708198010921478,2.9597897537314566e-06,1.0,15360,0.20032747089862823,0.48061808943748474,1.9468573331832886
31,0.8392325043678284,3.425653630984016e-05,1.597119688987732,0.00011763500515371561,1.0,15360,3.205495834350586,7.300877094268799,14.987001419067383
32,0.4562237560749054,8.683442501933314e-06,1.044954776763916,4.686366446549073e-05,1.0,15360,2.2314393520355225,4.7477803230285645,7.764160633087158
33,0.10318712145090103,6.48363482014247e-07,0.18721164762973785,2.884306013584137e-06,1.0,15360,0.05426860228180885,0.1349029541015625,1.3302373886108398
34,1.1386878490447998,8.839869406074286e-05,1.6198092699050903,0.0001653866347623989,1.0,15360,1.7274737358093262,3.7872421741485596,11.038003921508789
35,0.6270188689231873,1.927118319144938e-05,1.0158926248550415,4.9185076932189986e-05,1.0,15360,1.1754626035690308,1.8933275938034058,5.8787431716918945
36,1.1074858903884888,0.0001002716671791859,1.5753430128097534,0.00017680760356597602,0.99993497133255,15359,2.2768824100494385,6.823474407196045,23.40765380859375
37,1.8199325799942017,0.0008733933209441602,2.260128974914551,0.0008002571412362158,1.0,15360,3.287382125854492,3.541348457336426,78.13980865478516
38,0.9294924139976501,6.07951296842657e-05,1.0876944065093994,7.260839629452676e-05,1.0,15360,1.4161080121994019,2.771043300628662,8.988069534301758
39,0.7412291169166565,2.5399960577487946e-05,2.969019651412964,0.0003354180371388793,1.0,15360,7.902529239654541,13.667865753173828,18.302289962768555
40,1.2783279418945312,8.103183790808544e-05,1.929507851600647,0.00017600633145775646,1.0,15360,3.080749273300171,5.986185550689697,10.68845272064209
41,1.085452675819397,5.243603663984686e-05,2.8649826049804688,0.0003873539681080729,0.99993497133255,15359,8.328657150268555,15.398975372314453,25.130428314208984
42,0.6963947415351868,2.9101898689987138e-05,1.1339030265808105,8.816034824121743e-05,1.0,15360,0.9695842266082764,2.142855405807495,2.9393575191497803
43,1.3781285285949707,8.86537236510776e-05,2.6807854175567627,0.0003237336641177535,0.9267578721046448,14235,4.921905517578125,9.448366165161133,20.557336807250977
44,1.0933375358581543,0.00010378684237366542,1.2703578472137451,0.00014012742030899972,1.0,15360,1.9211421012878418,5.056101322174072,23.56667709350586
45,0.34308430552482605,6.359688995871693e-06,0.9752218127250671,4.3634092435240746e-05,0.9998698234558105,15358,0.7068954706192017,1.0869204998016357,4.440320014953613
46,0.6295199990272522,1.7639831639826298e-05,1.7776007652282715,0.00012946469360031188,1.0,15360,4.656581878662109,7.34840726852417,14.986346244812012
47,0.19630679488182068,1.9529136352502974e-06,0.5657245516777039,1.3971514817967545e-05,1.0,15360,0.25440898537635803,0.34683749079704285,5.173029899597168
48,0.42641913890838623,2.209546437370591e-05,0.7553620934486389,6.31688890280202e-05,1.0,15360,1.0706205368041992,1.4966750144958496,11.33123779296875
49,1.210790753364563,6.973135896259919e-05,2.887017011642456,0.00048527499893680215,1.0,15360,6.606526851654053,16.6624813079834,23.773914337158203
