dataset,batch_idx,ufm_epe,ours_epe,valid_ratio,valid_points,gt_flow_mean,gt_flow_p90,gt_flow_max,selected_points,candidate_points,gt_gif,ufm_gif,ours_gif
tartanair_v2,0,0.694277822971344,7.083198070526123,0.737500011920929,11328,38.42791748046875,67.10902404785156,118.16326141357422,48,1009,/tmp/ufm_vs_keycoord_50b_forward/tartanair_v2/batch_000_gt_track_overlay.gif,/tmp/ufm_vs_keycoord_50b_forward/tartanair_v2/batch_000_ufm_track_overlay.gif,/tmp/ufm_vs_keycoord_50b_forward/tartanair_v2/batch_000_keycoord_track_overlay.gif
tartanair_v2,1,0.9788728952407837,10.80314826965332,0.6417317986488342,9857,35.09358215332031,62.06121063232422,113.76756286621094,48,971,/tmp/ufm_vs_keycoord_50b_forward/tartanair_v2/batch_001_gt_track_overlay.gif,/tmp/ufm_vs_keycoord_50b_forward/tartanair_v2/batch_001_ufm_track_overlay.gif,/tmp/ufm_vs_keycoord_50b_forward/tartanair_v2/batch_001_keycoord_track_overlay.gif
tartanair_v2,2,2.6371569633483887,21.17852783203125,0.3796224296092987,5831,40.97195053100586,77.61678314208984,154.96510314941406,,,,,
tartanair_v2,3,1.2589632272720337,11.91478443145752,0.9909505844116211,15221,25.187536239624023,53.1009521484375,114.58192443847656,,,,,
tartanair_v2,4,2.7597334384918213,20.47167205810547,0.3739583492279053,5744,41.573062896728516,88.07159423828125,163.40347290039062,,,,,
tartanair_v2,5,0.7994145154953003,14.626153945922852,0.5692708492279053,8744,33.92551803588867,62.310543060302734,168.40321350097656,,,,,
tartanair_v2,6,1.8289159536361694,34.329490661621094,0.23457032442092896,3603,62.98643493652344,118.74319458007812,256.17913818359375,,,,,
tartanair_v2,7,0.78264319896698,9.0837984085083,0.6858073472976685,10534,45.194026947021484,82.85408782958984,136.66317749023438,,,,,
tartanair_v2,8,0.5706012845039368,9.507065773010254,0.5143229365348816,7900,30.743457794189453,60.724971771240234,172.03782653808594,,,,,
tartanair_v2,9,1.247951626777649,34.310020446777344,0.7185547351837158,11037,46.66383361816406,75.38538360595703,340.17669677734375,,,,,
tartanair_v2,10,1.0321428775787354,19.565967559814453,0.3945312798023224,6060,47.591209411621094,71.71846008300781,228.1313934326172,,,,,
tartanair_v2,11,0.9851616024971008,21.960506439208984,0.4169922173023224,6405,50.71289825439453,78.09391784667969,266.36376953125,,,,,
tartanair_v2,12,0.8277633786201477,17.526962280273438,0.44121095538139343,6777,36.597320556640625,60.03535079956055,139.29466247558594,,,,,
tartanair_v2,13,0.7399651408195496,29.882455825805664,0.39570313692092896,6078,63.47421646118164,102.98558807373047,189.7347869873047,,,,,
tartanair_v2,14,1.1760714054107666,20.89078140258789,0.4157552421092987,6386,49.343448638916016,80.1529312133789,176.09130859375,,,,,
tartanair_v2,15,0.9124931693077087,42.32036590576172,0.3672526180744171,5641,43.909454345703125,71.22639465332031,128.03428649902344,,,,,
tartanair_v2,16,2.0072031021118164,20.847549438476562,0.4320312738418579,6636,51.04063034057617,88.24057006835938,180.75003051757812,,,,,
tartanair_v2,17,1.0248652696609497,12.328646659851074,0.39186200499534607,6019,41.707786560058594,71.58082580566406,164.5599822998047,,,,,
tartanair_v2,18,1.5517499446868896,22.15730094909668,0.43639326095581055,6703,52.934349060058594,91.45540618896484,182.79727172851562,,,,,
tartanair_v2,19,2.376955509185791,16.691560745239258,0.2932942807674408,4505,49.63475036621094,84.71490478515625,173.32235717773438,,,,,
tartanair_v2,20,1.5094237327575684,14.218387603759766,0.4882812798023224,7500,39.48077392578125,69.60841369628906,123.44524383544922,,,,,
tartanair_v2,21,0.8386678099632263,29.334199905395508,0.39954429864883423,6137,53.62845993041992,100.74652099609375,162.1817169189453,,,,,
tartanair_v2,22,1.5743919610977173,15.591400146484375,0.47194012999534607,7249,42.33412170410156,72.80464172363281,128.62525939941406,,,,,
